time (s),x1 (pixels),y1 (pixels),x2 (pixels),y2 (pixels)
8.23333,970.901,443.451,953.205,390.367
8.26667,968.419,437.809,952.547,385.087
8.3,965.313,430.615,952.03,380.606
8.33333,962.402,424.329,950.023,374.939
8.36667,960.422,418.987,946.787,368.454
8.4,957.88,412.785,943.744,361.447
8.43333,955.402,406.804,939.6,354.359
8.46667,953.655,400.479,935.48,347.354
8.5,951.033,393.804,932.014,341.134
8.53333,948.973,386.568,927.28,334.307
8.56667,946.164,378.729,923.67,328.818
8.6,943.213,369.843,919.598,322.415
8.63333,939.854,361.43,915.981,316.864
8.66667,936.406,353.712,912.608,312.029
8.7,932.617,344.835,909.144,306.842
8.73333,928.449,337.602,906.37,302.511
8.76667,924.977,331.043,903.171,297.605
8.8,921.246,323.781,900.19,293.043
8.83333,914.197,310.812,892.412,283.071
8.86667,911.338,305.528,887.342,277.206
8.9,908.998,300.144,882.78,271.105
8.93333,906.959,295.456,877.054,264.457
8.96667,903.468,289.9,872.402,258.486
9,899.275,284.376,867.546,252.382
9.03333,895.859,279.443,862.303,246.882
9.06667,895.859,279.443,862.303,246.882
9.1,890.374,273.852,857.467,241.195
9.13333,885.236,268.847,852.876,236.051
9.16667,880.574,264.105,847.454,230.713
9.2,876.074,259.912,842.643,225.538
9.23333,865.95,250.053,830.954,214.942
9.26667,860.754,245.536,825.162,209.324
9.3,854.801,239.946,820.192,204.797
9.33333,850.19,234.317,813.784,199.853
9.36667,845.051,228.991,808.433,195.369
9.4,839.853,223.833,802.37,191.162
9.43333,834.466,218.017,795.682,187.659
9.46667,828.715,213.017,789.601,183.839
9.5,823.204,208.604,782.852,179.949
9.53333,817.583,203.417,776.911,176.812
9.56667,811.653,198.896,771.406,173.934
9.6,805.588,194.184,765.723,170.81
9.63333,799.998,189.614,760.442,168.044
9.66667,794.695,185.978,755.754,165.485
9.7,789.219,182.38,750.84,162.877
9.73333,783.789,178.591,746.431,160.479
9.76667,778.428,174.772,741.609,157.934
9.8,774.048,171.589,737.665,155.659
9.83333,769.315,168.279,733.407,153.542
9.86667,765.545,165.441,729.618,151.663
9.9,761.437,162.543,724.547,149.598
9.93333,757.61,159.732,718.648,148.455
9.96667,754.025,157.258,711.435,146.405
